gene	zcount_DGC1	zcount_DGC2	zcount_DGC3	zcount_DGH1	zcount_DGH2	zcount_DGH3	zcount_dugill1	zcount_dugill2	zcount_dugill3	zcount_WGC1	zcount_WGC2	zcount_WGC3	zcount_WGH1	zcount_WGH2	zcount_WGH3	zcount_wtgill1	zcount_wtgill2	zcount_wtgill4
LOC563017_1	0.128726112765727	0	0	0.277296739456304	0	0	0.385771462979803	0	0	0.201778771963018	0.25499015462362	0.101995147914142	0	0.11821035071652	0.151023404873348	0.11996079275517	0.125331981686596	0.484460077618272
LOC563036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC563082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC563292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC563477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC563479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC563500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC563561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC563567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC563567_1	0	0.903152117080243	0	0	1.26680170374717	0.351045260811319	0	0.239506093366976	0.224699329242575	0	0.763810832040839	0.611043190333535	0.223710719695779	0	1.20635572725512	0	0.50056795515455	0
LOC563567_2	0	0	0.144830665482391	0	0	0.415999144398563	0	0.425732837221478	0.266275432677279	0	0	0.362052237625769	0.265103900765238	0.979093156353835	0.536087870712101	0.993591428376955	0.593188013922667	0.143307352301453
LOC563710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC563780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC563780_1	28.2289871693111	23.7339398447049	24.832657308319	59.3464392775858	35.1500821998709	37.5189258007417	15.3814065096944	42.7568836400792	38.0023240654196	24.1358546271158	22.8755677943768	26.5533623298472	60.9565906899013	73.3327907687722	67.6541832328542	46.1424027814973	38.2139815497362	31.6730510804653
LOC563783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC563925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC563933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC563995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564220_1	8.68991681809804	5.99203365800412	9.65306558730813	15.307984116218	11.3063164353396	7.31983168831572	1.58200787691973	11.6528279136462	17.605465069863	6.81074222759974	6.67631310337016	3.92531518166635	18.8708777637631	10.5157391683378	11.6243659832784	17.7857578939307	15.8936319151837	19.1794836731162
LOC564237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564307_1	0.447953270604771	0.131151896074391	0.283965026540173	0.160827225466878	0.551878611325724	1.01954589249428	2.90862851218819	3.19976485229958	1.04415608469869	1.6383938795377	1.47889799100755	0.354932337443518	1.0395621116007	0.411359529819507	1.05109098220042	3.3396070652311	1.88994889672162	1.40489156644219
LOC564481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC564808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC565002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC565175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC565175_1	14.1485419884364	11.1981753709923	13.8970158113849	4.01910775427131	3.2563424296429	4.67109063728705	762.983326872707	10.7196544465832	9.3774199594752	19.862628699274	8.7775217284742	10.5945277848029	3.78858753049588	2.14165941029196	5.10747123767275	42.3083237979163	15.8947919072952	11.9954210416632
LOC565422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC565424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC565594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC565638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC565691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC565709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC565813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC565819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC565832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC565905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC565947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC565999	106.21890440668	110.473303006845	104.439764777033	45.8779351181355	22.7729119863586	27.8033762017197	80.483425158	83.864212610748	88.8657449134891	105.400135021727	101.488498508491	88.7253589598188	69.590820964701	47.1103418141486	41.4868212110849	94.2428159534403	82.1607569046918	110.272705924433
LOC566011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC566055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC566064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC566119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC566136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC566194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC566378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC566574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC566587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC566640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC566640_1	5.12073772315289	5.01672504368488	5.99283837660005	1.6970603396536	0.485288534981738	2.15166417698986	12.689984385005	8.25753586712971	2.92665874320865	4.78519568539165	4.29149516136199	5.30580102010353	0.685595840925973	0.723449176975125	0.693199182415182	5.32267384285116	3.64340992678402	7.41225794327298
LOC566646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC566907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC566907_1	29.1189736028706	32.7979539271879	23.7795372780583	16.9731747000809	8.86313333434828	12.6312467481018	8.21316536940704	105.648637679424	41.0243476378685	27.1179799281422	17.9829016252003	29.3152599677592	30.1111615771533	32.0882594041967	25.7225910759638	43.7371395667847	48.6973405907827	42.5463605943869
LOC566927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC567058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC567149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC567472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC567498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC567521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC567521_1	0.478575350564583	1.36614502093858	0.341298981216735	0.386598088310669	0.294802513136836	0	0	1.8950384522919	0.418325468081897	1.59410924453944	0.710997947605277	0.758391015158399	0.312363721268542	0.329610046588678	0.280735887139921	3.23341169710361	0.116489179592057	2.36396464967636
LOC567622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC567650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC567656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC567670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC567728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC567728_1	2.62352628886622	1.9901208833998	4.76250486494838	25.5601812179947	22.037628091734	19.8677134739248	2.14425994612684	8.77745479209714	10.3195774225351	3.27121890974269	3.07088002436548	1.98424315885853	11.2081902348847	6.35154799574258	12.3118414564542	9.6684012208752	9.40465806883723	8.8638251238306
