gene	zcount_A1	zcount_A2	zcount_A3	zcount_A4	zcount_A5	zcount_A6
pcgf5a_2	21.7020210893361	20.4836646630279	12.9627786527113	27.7355388079415	32.1839862444967	35.5066901377963
pcgf5b	0	0	0	0	0	0
pcgf6	0	0	0	0	0	0
pcid2	0	0	0	0	0	0
pcif1	0	0	0	0	0	0
pck1	0	0	0	0	0	0
pck2	0	0	0	0	0	0
pck2_1	66.4987697706256	38.5152015457982	30.3880708664769	32.8310234184204	56.0758453034515	85.8792064157558
pcloa	0	0	0	0	0	0
pcloa_1	20.2461526497911	32.5284401822301	11.9275176354199	39.2133827233377	24.8364398281872	30.8677109445746
pclob	0	0	0	0	0	0
pcm1	0	0	0	0	0	0
pcm1_1	908.591702546181	947.733495885006	511.182158937264	728.252584560532	865.840451910758	877.706507213464
pcmt	0	0	0	0	0	0
pcmtd1	0	0	0	0	0	0
pcmtd2	0	0	0	0	0	0
pcmtd2_1	85.3937915769105	90.7924945620506	77.5031506533952	71.7038537123557	69.3089394435699	88.1823869288677
pcmtl	0	0	0	0	0	0
pcmtl_1	276.735326247458	314.44659048625	363.378135573282	256.126307851811	354.938009083739	254.803848547243
pcna	0	0	0	0	0	0
pcnp	0	0	0	0	0	0
pcnt	0	0	0	0	0	0
pcnx	0	0	0	0	0	0
pcnxl2	0	0	0	0	0	0
pcnxl4	0	0	0	0	0	0
pcolce2a	0	0	0	0	0	0
pcolce2b	0	0	0	0	0	0
pcolcea	0	0	0	0	0	0
pcolceb	0	0	0	0	0	0
pcp4a	0	0	0	0	0	0
pcp4b	0	0	0	0	0	0
pcp4l1	0	0	0	0	0	0
pcp4l1_1	743.485710731138	1323.08408103817	1431.51592391389	1117.27488534005	979.041296023103	1101.22638689045
pcsk1	0	0	0	0	0	0
pcsk1nl	0	0	0	0	0	0
pcsk2	0	0	0	0	0	0
pcsk5a	0	0	0	0	0	0
pcsk5a_1	0.817376550935729	1.65694763186459	0.532609194427993	1.11544237287033	0.368563756381222	0.468926981628791
pcsk5b	0	0	0	0	0	0
pcsk6	0	0	0	0	0	0
pcsk7	0	0	0	0	0	0
pcsk9	0	0	0	0	0	0
pctp	0	0	0	0	0	0
pcxa	0	0	0	0	0	0
pcxb	0	0	0	0	0	0
pcyox1	0	0	0	0	0	0
pcyox1l	0	0	0	0	0	0
pcyt1aa	0	0	0	0	0	0
pcyt1ab	0	0	0	0	0	0
pcyt1ba	0	0	0	0	0	0
pcyt1bb	0	0	0	0	0	0
pcyt2	0	0	0	0	0	0
pdap1a	0	0	0	0	0	0
pdap1a_1	173.341385894952	87.3871384605748	78.2922014127496	89.2338509700381	76.3650933874731	193.055645811334
pdap1b	0	0	0	0	0	0
pdca	0	0	0	0	0	0
pdcb	0	0	0	0	0	0
pdcd10a	0	0	0	0	0	0
pdcd10a_1	282.518116208816	256.169466774806	389.406289856532	413.481353787058	416.306929501977	333.601493249204
pdcd10b	0	0	0	0	0	0
pdcd11	0	0	0	0	0	0
pdcd2	0	0	0	0	0	0
pdcd2l	0	0	0	0	0	0
pdcd4a	0	0	0	0	0	0
pdcd4b	0	0	0	0	0	0
pdcd4b_1	113.810428938675	252.480991310172	101.182973239945	129.93214850463	155.432047572931	97.0958936747705
pdcd4b_2	288.316656046306	275.766451698707	161.298569005772	287.681030904073	196.332571817012	262.158433628223
pdcd5	0	0	0	0	0	0
pdcd6	0	0	0	0	0	0
pdcd6ip	0	0	0	0	0	0
pdcd7	0	0	0	0	0	0
pdcl	0	0	0	0	0	0
pdcl3	249.847800549948	209.722489236672	225.446561704685	268.954205406428	329.552134235694	199.840984186895
pde10a	0	0	0	0	0	0
pde11a	0	0	0	0	0	0
pde11al	0	0	0	0	0	0
pde12	0	0	0	0	0	0
