gene	zcount_h-brain-1_S11	zcount_h-brain-2_S12	zcount_h-brain-3_S13	zcount_h-testis-1_S16	zcount_h-testis-2_S17	zcount_n-testis-1_S33	zcount_n-testis-2_S34	zcount_n-testis-3_S35	zcount_wt-brain_S44
rps6ka3a_1	20.4424631668064	14.7450377196968	30.3857445141008	58.0662049559659	70.1349134782986	71.792660608597	72.3298551698031	72.832691358562	36.9650455432041
rps6ka3b	0	0	0	0	0	0	0	0	0
rps6ka3b_1	10.3359619244694	8.05243822932964	35.5531208069564	60.0178479158943	25.8405284711705	56.1611132643066	107.449261379524	67.7885903989597	41.2543187267657
rps6ka4	0	0	0	0	0	0	0	0	0
rps6ka5	0	0	0	0	0	0	0	0	0
rps6kal	0	0	0	0	0	0	0	0	0
rps6kal_1	269.462239006667	177.353021381532	434.716691587775	86.5154156737207	109.257475218918	81.7664908099843	196.82245711979	180.594636099423	201.901148170885
rps6kb1a	0	0	0	0	0	0	0	0	0
rps6kb1a_1	30.2836832397917	22.718110461581	36.6308608149857	235.121049364941	162.510506622123	199.151721557912	128.312679131712	133.254047483707	59.2061475041649
rps6kb1b	0	0	0	0	0	0	0	0	0
rps6kb1b_1	167.809479644563	125.576453861456	221.160962356152	190.064704634251	221.429518800914	196.494824134598	214.854165819962	199.796450777554	219.558125807733
rps6kc1	0	0	0	0	0	0	0	0	0
rps6kl1	0	0	0	0	0	0	0	0	0
rps6kl1_1	4.04683168851262	5.84439483454545	17.8551443569253	6.40531512973818	5.48560757369532	9.46284684780467	27.4464323214203	7.88058565249858	15.0600637301934
rps7	0	0	0	0	0	0	0	0	0
rps8a	0	0	0	0	0	0	0	0	0
rps8b	0	0	0	0	0	0	0	0	0
rps9	0	0	0	0	0	0	0	0	0
rps9_1	7671.08991604876	5546.80070176403	4302.83090132641	9497.74496391308	10292.3084170188	9861.8808877751	10709.6191527908	2080.02212808342	7530.19736030252
rpsa	0	0	0	0	0	0	0	0	0
rptor	0	0	0	0	0	0	0	0	0
rptor_1	30.9261549152313	36.6763061184325	87.6636638552239	33.7489205955354	36.9549844953386	40.5078750344022	44.2529496087483	33.6187489902581	49.8332489592669
rpusd1	0	0	0	0	0	0	0	0	0
